[12/04/2020 2:14:34] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gm], Params: [] 
[12/04/2020 2:14:37] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:14:56] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[12/04/2020 2:15:03] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin3], Params: [] 
[12/04/2020 2:15:10] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin4], Params: [] 
[12/04/2020 2:15:20] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:15:22] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_help], Params: [ help/main_menu.htm] 
[12/04/2020 2:15:27] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:15:29] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_create_item], Params: [] 
[12/04/2020 2:15:36] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:15:41] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_announce_menu], Params: [] 
[12/04/2020 2:15:53] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_announce_menu], Params: [ LONGO COMETE A NAARA] 
[12/04/2020 2:15:57] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:16:00] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[12/04/2020 2:16:01] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[12/04/2020 2:16:02] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[12/04/2020 2:16:04] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_gmchat_menu], Params: [ ASD] 
[12/04/2020 2:16:21] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_spawn_monster], Params: [ 29068] 
[12/04/2020 2:16:44] --> GM: Ducha [268478400], Target: [Antharas], Action: [admin_admin], Params: [] 
[12/04/2020 2:16:47] --> GM: Ducha [268478400], Target: [Antharas], Action: [admin_list_spawns], Params: [] 
[12/04/2020 2:17:12] --> GM: Ducha [268478400], Target: [Antharas], Action: [admin_admin], Params: [] 
[12/04/2020 2:17:17] --> GM: Ducha [268478400], Target: [Antharas], Action: [admin_delete], Params: [] 
[12/04/2020 2:18:00] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:18:08] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_help], Params: [ help/main_menu.htm] 
[12/04/2020 2:18:16] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin1], Params: [] 
[12/04/2020 2:18:23] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 2:18:28] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 2:18:29] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 2:18:29] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 2:18:30] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 2:18:30] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin5], Params: [] 
[12/04/2020 2:18:39] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:18:42] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_spawn_monster], Params: [ 6379] 
[12/04/2020 2:18:49] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:18:51] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_create_item], Params: [] 
[12/04/2020 2:19:05] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_create_item], Params: [ 6379 1] 
