[03/06/2016 22:40:20] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_admin], Params: [] 
[03/06/2016 22:40:24] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_announce_menu], Params: [] 
[03/06/2016 22:40:26] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_del_announcement], Params: [ 0] 
[03/06/2016 22:40:42] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_add_announcement], Params: [ Bienvenidos a L2-Kingston Servidor argentino!] 
[03/06/2016 22:41:06] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_add_announcement], Params: [ El ADM/Staff No se hace responsable si usted es robado por trade o chat.] 
[03/06/2016 22:41:51] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_add_announcement], Params: [ Servidor ON 24/7 Recuerda Votar!] 
[03/06/2016 22:42:13] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 22:42:41] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_set_level 81], Params: [] 
[03/06/2016 22:48:37] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 22:48:41] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_admin], Params: [] 
[03/06/2016 22:48:42] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_move_to], Params: [] 
[03/06/2016 22:48:43] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[03/06/2016 22:48:44] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[03/06/2016 22:48:44] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[03/06/2016 22:49:51] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_spawn 54], Params: [] 
[03/06/2016 22:52:43] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_admin], Params: [] 
[03/06/2016 22:53:02] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_gmshop], Params: [] 
[03/06/2016 22:53:05] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_help], Params: [ gmshop/materials.htm] 
[03/06/2016 22:53:07] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_buy], Params: [ 300510] 
[03/06/2016 22:53:12] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_admin], Params: [] 
[03/06/2016 22:53:13] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_gmshop], Params: [] 
[03/06/2016 22:53:17] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_help], Params: [ gmshop/QuestItems.htm] 
[03/06/2016 22:53:18] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_buy], Params: [ 300530] 
[03/06/2016 22:53:24] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_admin], Params: [] 
[03/06/2016 22:53:26] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_gmshop], Params: [] 
[03/06/2016 22:53:27] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_help], Params: [ gmshop/QuestItems.htm] 
[03/06/2016 22:53:28] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_buy], Params: [ 300539] 
[03/06/2016 22:56:55] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_reload], Params: [] 
[03/06/2016 22:56:57] --> GM: L2-Kingston [268478175], Target: [no-target], Action: [admin_reload], Params: [ multisell] 
[03/06/2016 22:58:20] --> GM: L2-Kingston [268478175], Target: [Necromancer of Destruction], Action: [admin_reload], Params: [] 
[03/06/2016 22:58:21] --> GM: L2-Kingston [268478175], Target: [Necromancer of Destruction], Action: [admin_reload], Params: [ multisell] 
[03/06/2016 22:59:36] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_admin], Params: [] 
[03/06/2016 22:59:37] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_create_item], Params: [] 
[03/06/2016 22:59:43] --> GM: L2-Kingston [268478175], Target: [L2-Kingston], Action: [admin_create_item], Params: [ 57 2000000000] 
[03/06/2016 23:00:28] --> GM: L2-Kingston [268478175], Target: [Necromancer of Destruction], Action: [admin_delete], Params: [] 
