[15/04/2020 20:37:27] --> GM: PSA [268478665], Target: [no-target], Action: [admin_admin], Params: [] 
[15/04/2020 20:37:32] --> GM: PSA [268478665], Target: [no-target], Action: [admin_admin2], Params: [] 
[15/04/2020 20:37:32] --> GM: PSA [268478665], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[15/04/2020 20:37:34] --> GM: PSA [268478665], Target: [no-target], Action: [admin_character_info], Params: [ PSA] 
[15/04/2020 20:37:35] --> GM: PSA [268478665], Target: [PSA], Action: [admin_add_exp_sp_to_character], Params: [] 
[15/04/2020 20:37:37] --> GM: PSA [268478665], Target: [PSA], Action: [admin_set_level], Params: [ 80] 
[15/04/2020 20:39:38] --> GM: PSA [268478665], Target: [PSA], Action: [admin_admin], Params: [] 
[15/04/2020 20:39:39] --> GM: PSA [268478665], Target: [PSA], Action: [admin_create_item], Params: [] 
[15/04/2020 20:39:42] --> GM: PSA [268478665], Target: [PSA], Action: [admin_admin], Params: [] 
[15/04/2020 20:39:45] --> GM: PSA [268478665], Target: [PSA], Action: [admin_create_item], Params: [] 
[15/04/2020 20:39:47] --> GM: PSA [268478665], Target: [PSA], Action: [admin_admin], Params: [] 
[15/04/2020 20:39:51] --> GM: PSA [268478665], Target: [PSA], Action: [admin_gmshop], Params: [] 
[15/04/2020 20:39:55] --> GM: PSA [268478665], Target: [PSA], Action: [admin_help], Params: [ gmshop/sets.htm] 
[15/04/2020 20:39:58] --> GM: PSA [268478665], Target: [PSA], Action: [admin_buy], Params: [ 9113] 
[15/04/2020 20:40:11] --> GM: PSA [268478665], Target: [PSA], Action: [admin_admin], Params: [] 
[15/04/2020 20:40:12] --> GM: PSA [268478665], Target: [PSA], Action: [admin_gmshop], Params: [] 
[15/04/2020 20:40:15] --> GM: PSA [268478665], Target: [PSA], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[15/04/2020 20:40:16] --> GM: PSA [268478665], Target: [PSA], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[15/04/2020 20:40:25] --> GM: PSA [268478665], Target: [PSA], Action: [admin_buy], Params: [ 9052] 
[15/04/2020 20:40:33] --> GM: PSA [268478665], Target: [PSA], Action: [admin_admin], Params: [] 
[15/04/2020 20:40:35] --> GM: PSA [268478665], Target: [PSA], Action: [admin_enchant], Params: [] 
[15/04/2020 20:40:44] --> GM: PSA [268478665], Target: [PSA], Action: [admin_setew], Params: [ 16] 
[15/04/2020 20:41:48] --> GM: PSA [268478665], Target: [Roy the Cat], Action: [admin_admin], Params: [] 
[15/04/2020 20:41:55] --> GM: PSA [268478665], Target: [Roy the Cat], Action: [admin_gmshop], Params: [] 
[15/04/2020 20:41:57] --> GM: PSA [268478665], Target: [Roy the Cat], Action: [admin_buy], Params: [ 1011] 
[15/04/2020 20:42:21] --> GM: PSA [268478665], Target: [Angelic Shop], Action: [admin_admin], Params: [] 
[15/04/2020 20:42:22] --> GM: PSA [268478665], Target: [Angelic Shop], Action: [admin_create_item], Params: [] 
[15/04/2020 20:42:28] --> GM: PSA [268478665], Target: [PSA], Action: [admin_create_item], Params: [ 57 1000000] 
[15/04/2020 20:42:39] --> GM: PSA [268478665], Target: [PSA], Action: [admin_admin], Params: [] 
[15/04/2020 20:42:40] --> GM: PSA [268478665], Target: [PSA], Action: [admin_create_item], Params: [] 
[15/04/2020 20:42:43] --> GM: PSA [268478665], Target: [PSA], Action: [admin_create_item], Params: [ 57] 
[15/04/2020 20:42:47] --> GM: PSA [268478665], Target: [Angelic Shop], Action: [admin_admin], Params: [] 
[15/04/2020 20:42:48] --> GM: PSA [268478665], Target: [Angelic Shop], Action: [admin_create_item], Params: [] 
[15/04/2020 20:42:56] --> GM: PSA [268478665], Target: [PSA], Action: [admin_create_item], Params: [ 57 1000000000] 
[15/04/2020 23:11:24] --> GM: PSA [268478665], Target: [Looney the Cat], Action: [admin_admin], Params: [] 
[15/04/2020 23:11:26] --> GM: PSA [268478665], Target: [Looney the Cat], Action: [admin_admin2], Params: [] 
[15/04/2020 23:11:26] --> GM: PSA [268478665], Target: [Looney the Cat], Action: [admin_show_characters], Params: [ 0] 
[15/04/2020 23:11:27] --> GM: PSA [268478665], Target: [Looney the Cat], Action: [admin_character_info], Params: [ PSA] 
[15/04/2020 23:11:28] --> GM: PSA [268478665], Target: [PSA], Action: [admin_show_skills], Params: [] 
[15/04/2020 23:11:29] --> GM: PSA [268478665], Target: [PSA], Action: [admin_skill_list], Params: [] 
[15/04/2020 23:11:33] --> GM: PSA [268478665], Target: [PSA], Action: [admin_add_skill], Params: [ 9999 1] 
