[02/06/2016 20:29:47] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmshop], Params: [] 
[02/06/2016 20:46:57] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_admin], Params: [] 
[02/06/2016 20:47:22] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[02/06/2016 20:47:52] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[02/06/2016 20:47:56] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_admin], Params: [] 
[02/06/2016 20:47:58] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_move_to], Params: [] 
[02/06/2016 20:48:00] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[02/06/2016 20:48:03] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_help], Params: [ tele/towns/ti_starting.htm] 
[02/06/2016 20:48:05] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_move_to], Params: [ -82687 243157 -3734] 
[02/06/2016 20:48:18] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_admin], Params: [] 
[02/06/2016 20:48:20] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_admin2], Params: [] 
[02/06/2016 20:48:20] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[02/06/2016 20:48:22] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_character_info], Params: [ PinaYo] 
[02/06/2016 20:48:23] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_add_exp_sp_to_character], Params: [] 
[02/06/2016 20:48:26] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_set_level], Params: [ 81] 
[02/06/2016 20:48:28] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_admin], Params: [] 
[02/06/2016 20:48:50] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_gmshop], Params: [] 
[02/06/2016 20:48:52] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[02/06/2016 20:48:53] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[02/06/2016 20:48:55] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_buy], Params: [ 9049] 
[02/06/2016 20:49:13] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_admin], Params: [] 
[02/06/2016 20:49:15] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_create_item], Params: [] 
[02/06/2016 20:49:21] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_create_item], Params: [ 6408 1] 
[02/06/2016 20:49:31] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_gmshop], Params: [] 
[02/06/2016 20:49:33] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[02/06/2016 20:49:34] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
